Date,Open,High,Low,Close,Adj Close,Volume
2020-03-17,33.000000,33.000000,30.180000,31.719999,31.195038,26892
2020-03-18,32.299999,33.520000,31.000000,32.000000,31.470406,12520
2020-03-19,33.000000,34.000000,31.400000,32.939999,32.394848,20980
2020-03-20,33.099998,35.799999,33.099998,33.740002,33.181610,27347
2020-03-23,33.680000,34.299999,31.440001,33.459999,32.906242,24872
2020-03-24,34.040001,36.279999,33.619999,36.000000,35.404209,68146
2020-03-25,36.419998,37.700001,36.000000,37.360001,36.741699,58317
2020-03-26,38.000000,41.220001,37.340000,41.220001,40.537815,75259
2020-03-27,42.020000,43.980000,39.299999,41.099998,40.419800,50805
2020-03-30,41.000000,41.000000,39.220001,40.299999,39.633041,9309
2020-03-31,39.380001,41.580002,39.380001,41.080002,40.400135,15978
2020-04-01,41.099998,41.099998,39.599998,40.660000,39.987083,16260
2020-04-02,40.480000,42.480000,39.500000,40.500000,39.829731,26263
2020-04-03,41.000000,43.299999,40.060001,41.500000,40.813183,87784
2020-04-06,43.000000,43.000000,41.299999,42.200001,41.501598,59313
2020-04-07,42.439999,43.900002,42.200001,42.540001,41.835972,73797
2020-04-08,42.599998,42.799999,42.000000,42.540001,41.835972,15378
2020-04-09,43.139999,44.380001,43.000000,43.299999,42.583393,58381
2020-04-10,42.000000,43.500000,42.000000,43.320000,42.603062,16845
2020-04-13,43.320000,44.560001,42.980000,43.799999,43.075115,39268
2020-04-14,43.939999,45.860001,43.939999,45.099998,44.353600,81456
2020-04-15,45.200001,46.139999,42.959999,44.500000,43.763531,48698
2020-04-16,45.299999,47.980000,44.900002,47.860001,47.067924,166196
2020-04-17,52.599998,52.599998,48.799999,49.540001,48.720123,58495
2020-04-20,50.200001,50.200001,48.680000,49.360001,48.543102,27220
2020-04-21,49.480000,51.750000,48.599998,49.759998,48.936478,70834
2020-04-22,50.049999,52.799999,50.049999,51.700001,50.844376,79261
2020-04-24,52.000000,54.750000,51.950001,53.650002,52.762104,73137
2020-04-27,54.700001,56.500000,54.000000,55.200001,54.286449,106073
2020-04-28,55.599998,56.099998,54.200001,54.349998,53.450516,47831
2020-04-29,54.500000,56.549999,53.599998,54.500000,53.598034,64912
2020-04-30,55.799999,56.000000,53.099998,53.700001,52.811272,46259
2020-05-04,51.200001,53.049999,51.200001,52.150002,51.286926,27729
2020-05-05,52.099998,52.700001,51.750000,52.000000,51.139408,9482
2020-05-06,52.500000,52.500000,51.200001,51.950001,51.090237,35933
2020-05-07,51.950001,53.349998,50.799999,52.750000,51.876995,21419
2020-05-08,53.500000,53.599998,52.099998,52.150002,51.286926,15530
2020-05-11,52.650002,53.250000,52.049999,52.599998,51.729477,17612
2020-05-12,53.400002,53.599998,52.900002,53.500000,52.614586,15361
2020-05-13,53.549999,55.950001,52.250000,55.450001,54.532310,65446
2020-05-14,56.200001,57.299999,53.400002,54.950001,54.040588,85986
2020-05-15,54.950001,60.000000,54.950001,57.400002,56.450043,136111
2020-05-18,58.400002,58.400002,56.849998,57.250000,56.302521,55306
2020-05-20,57.250000,57.299999,56.000000,57.000000,56.056660,31529
2020-05-21,57.000000,58.500000,56.349998,58.250000,57.285973,68913
2020-05-22,58.299999,58.299999,56.549999,57.099998,56.155003,30480
2020-05-27,57.799999,58.599998,57.299999,58.200001,57.236801,40878
2020-05-28,58.500000,62.700001,58.400002,60.500000,59.498737,171865
2020-05-29,66.400002,66.400002,65.000000,66.400002,65.301094,84648
2020-06-01,71.699997,73.000000,68.699997,73.000000,71.791862,327366
2020-06-02,75.000000,80.300003,74.500000,80.300003,78.971054,413922
2020-06-03,84.000000,88.000000,73.150002,76.449997,75.184761,548474
2020-06-04,75.400002,83.300003,71.699997,83.300003,81.921402,485950
2020-06-05,87.199997,90.400002,82.849998,86.500000,85.068443,538426
2020-06-08,86.500000,90.550003,82.599998,83.650002,82.265610,246494
2020-06-09,83.900002,85.000000,80.199997,80.550003,79.216919,147431
2020-06-10,80.199997,81.800003,77.800003,79.000000,77.692566,141561
2020-06-11,78.750000,84.400002,77.750000,80.500000,79.167732,212011
2020-06-12,79.900002,83.699997,76.599998,79.900002,78.577675,190027
2020-06-15,79.300003,82.400002,78.650002,80.050003,78.725189,92155
2020-06-16,81.500000,84.150002,80.550003,82.449997,81.085464,128274
2020-06-17,82.500000,83.349998,81.000000,81.699997,80.347870,77390
2020-06-18,81.449997,83.699997,80.500000,81.300003,79.954506,100874
2020-06-19,81.449997,87.949997,81.300003,84.449997,83.052361,397768
2020-06-22,84.650002,91.500000,84.650002,89.800003,88.313828,371202
2020-06-23,89.800003,91.500000,87.349998,88.900002,87.428726,247742
2020-06-24,89.500000,89.500000,86.800003,87.500000,86.051895,74508
2020-06-25,87.550003,87.599998,84.800003,85.699997,84.281677,61955
2020-06-26,85.500000,86.300003,84.550003,85.199997,83.789948,55228
2020-06-29,85.000000,88.800003,84.199997,86.949997,85.510986,109503
2020-06-30,86.699997,87.599998,85.000000,85.750000,84.330849,70428
2020-07-01,85.849998,86.500000,84.349998,85.000000,83.593262,39398
2020-07-02,84.900002,87.500000,84.750000,86.300003,84.871758,50473
2020-07-03,86.699997,86.849998,85.400002,86.150002,84.724236,49163
2020-07-06,86.750000,87.750000,86.250000,86.800003,85.363480,70325
2020-07-07,87.400002,87.550003,85.250000,85.849998,84.429199,50310
2020-07-08,86.000000,89.400002,85.699997,87.150002,85.707680,158151
2020-07-09,87.750000,89.949997,83.550003,83.550003,82.167267,103686
2020-07-10,83.000000,83.949997,80.800003,83.550003,82.167267,54178
2020-07-13,84.500000,86.949997,83.500000,86.599998,85.166786,57613
2020-07-14,86.699997,94.750000,85.500000,93.349998,91.805069,326470
2020-07-16,93.300003,96.099998,92.000000,92.050003,90.526588,127087
2020-07-17,92.599998,96.000000,91.150002,94.000000,92.444313,131044
2020-07-20,null,null,null,null,null,null
2020-07-21,95.150002,96.449997,90.650002,92.550003,91.018318,67873
2020-07-22,92.699997,94.000000,90.050003,92.099998,90.575760,43686
2020-07-23,92.199997,101.300003,92.199997,101.300003,99.623505,158023
2020-07-24,103.099998,109.000000,98.800003,104.099998,102.377167,381730
2020-07-27,103.699997,112.900002,103.699997,112.900002,112.162857,338216
2020-07-28,113.000000,123.099998,111.800003,114.500000,113.752403,438263
2020-07-29,114.699997,117.699997,106.000000,109.000000,108.288315,150964
2020-07-30,106.500000,109.699997,106.000000,107.000000,106.301376,38117
2020-08-04,109.000000,110.000000,96.300003,96.300003,95.671242,136710
2020-08-05,96.500000,96.949997,91.699997,94.650002,94.032013,100772
2020-08-06,94.800003,94.800003,86.000000,86.599998,86.034569,103754
2020-08-07,86.000000,95.150002,81.000000,95.150002,94.528748,194446
2020-08-10,95.150002,104.599998,95.150002,104.599998,103.917046,235931
2020-08-11,107.000000,112.500000,101.699997,105.900002,105.208557,281940
2020-08-12,107.199997,108.000000,102.099998,103.099998,102.426834,83231
2020-08-13,104.000000,106.000000,98.800003,98.800003,98.154915,66884
2020-08-14,99.099998,99.900002,95.000000,96.300003,95.671242,52515
2020-08-17,97.050003,105.699997,94.000000,105.699997,105.009857,208957
2020-08-18,107.599998,108.800003,101.199997,101.800003,101.135330,215151
2020-08-19,103.500000,104.900002,99.500000,99.650002,98.999367,67350
2020-08-20,99.650002,104.300003,99.650002,100.699997,100.042503,68450
2020-08-21,102.199997,102.199997,96.500000,97.199997,96.565361,62478
2020-08-24,96.550003,100.000000,95.500000,96.900002,96.267319,51773
2020-08-25,97.800003,98.300003,94.000000,94.500000,93.882988,56550
2020-08-26,94.500000,96.449997,92.699997,93.900002,93.286911,55431
2020-08-27,94.099998,103.300003,94.099998,101.300003,100.638596,228239
2020-08-28,99.800003,101.699997,97.000000,99.150002,98.502632,84811
2020-08-31,100.000000,100.000000,97.250000,97.500000,96.863403,59004
2020-09-01,98.050003,100.000000,96.250000,98.500000,97.856873,52976
2020-09-02,99.000000,100.000000,96.900002,97.750000,97.111771,34180
2020-09-03,97.400002,99.800003,96.849998,97.349998,96.714378,59710
2020-09-04,94.000000,98.500000,94.000000,97.250000,96.615036,44744
2020-09-07,97.800003,98.099998,96.550003,97.199997,96.565361,50941
2020-09-08,97.199997,97.650002,95.500000,95.800003,95.174507,72514
2020-09-09,96.300003,105.300003,95.599998,100.300003,99.645126,363424
2020-09-10,100.500000,103.800003,99.900002,102.099998,101.433365,111976
2020-09-11,102.900002,104.000000,100.400002,102.000000,101.334023,134370
2020-09-14,103.000000,113.300003,103.000000,113.300003,112.560242,278386
2020-09-15,115.000000,124.599998,114.699997,124.599998,123.786461,678838
2020-09-16,129.600006,136.500000,123.199997,125.599998,124.779930,854862
2020-09-17,126.199997,128.300003,113.599998,113.599998,112.858276,455286
2020-09-18,null,null,null,null,null,null
2020-09-21,121.599998,123.000000,114.000000,115.300003,114.547188,154764
2020-09-22,116.000000,119.000000,112.000000,118.900002,118.123680,135407
2020-09-23,121.000000,121.500000,117.099998,118.199997,117.428246,109681
2020-09-24,118.000000,118.000000,115.599998,116.500000,115.739349,87458
2020-09-25,117.500000,123.000000,116.599998,119.500000,118.719757,261356
2020-09-28,120.300003,120.800003,116.199997,117.599998,116.832161,152055
2020-09-29,118.000000,122.699997,116.199997,117.599998,116.832161,254401
2020-09-30,119.099998,128.899994,118.099998,128.899994,128.058380,471785
2020-10-01,130.000000,135.699997,121.099998,125.099998,124.283195,534185
2020-10-02,125.500000,127.199997,123.000000,124.500000,123.687111,210192
2020-10-05,125.000000,132.500000,123.800003,128.000000,127.164261,403754
